ex_dividend_date,CashDividend,stock_id
2024-01-17,0.75,0050
2024-07-16,0.25,0050
2025-01-17,0.675,0050
2025-07-21,0.36,0050
2026-01-22,1.0,0050
2024-01-17,0.7,0056
2024-04-18,0.79,0056
2024-07-16,1.07,0056
2024-10-17,1.07,0056
2025-01-17,1.07,0056
2025-04-23,1.07,0056
2025-07-21,0.866,0056
2025-10-23,0.866,0056
2026-01-22,0.866,0056
2026-04-23,1.0,0056
2024-07-16,0.783,006208
2024-11-18,0.9,006208
2025-07-16,0.989,006208
2025-11-18,3.448,006208
2024-03-18,0.88,00713
2024-06-19,1.5,00713
2024-09-18,1.5,00713
2024-12-17,1.4,00713
2025-03-21,1.4,00713
2025-06-20,1.1,00713
2025-09-19,0.78,00713
2025-12-19,0.78,00713
2026-03-20,0.78,00713
2024-02-27,0.4,00878
2024-05-17,0.51,00878
2024-08-16,0.55,00878
2024-11-18,0.55,00878
2025-02-20,0.5,00878
2025-05-19,0.47,00878
2025-08-18,0.4,00878
2025-11-18,0.4,00878
2026-02-26,0.42,00878
2026-05-19,0.66,00878
2024-02-27,0.12,00900
2024-05-17,0.1,00900
2024-08-16,0.792,00900
2024-11-18,0.1,00900
2024-12-17,0.1,00900
2025-01-17,0.1,00900
2025-02-19,0.1,00900
2025-03-18,0.1,00900
2025-04-23,0.1,00900
2025-05-19,0.1,00900
2025-06-17,0.1,00900
2025-07-16,0.1,00900
2025-08-18,0.1,00900
2025-09-16,0.1,00900
2025-10-20,0.1,00900
2025-11-18,0.1,00900
2025-12-16,0.075,00900
2026-01-20,0.075,00900
2026-02-25,0.075,00900
2026-03-17,0.075,00900
2026-04-20,0.075,00900
2026-05-19,0.075,00900
2024-02-26,0.141,00907
2024-04-22,0.141,00907
2024-06-25,0.33,00907
2024-08-23,0.33,00907
2024-10-24,0.28,00907
2024-12-24,0.22,00907
2025-02-24,0.13,00907
2025-04-23,0.095,00907
2025-06-24,0.011,00907
2025-08-26,0.13,00907
2025-10-23,0.136,00907
2025-12-23,0.136,00907
2026-02-25,0.16,00907
2026-04-23,0.2,00907
2024-03-18,0.66,00919
2024-06-24,0.7,00919
2024-09-23,0.72,00919
2024-12-20,0.72,00919
2025-03-18,0.72,00919
2025-06-17,0.72,00919
2025-09-16,0.54,00919
2025-12-16,0.54,00919
2026-03-17,0.78,00919
2024-01-18,0.13,00929
2024-02-29,0.13,00929
2024-03-19,0.13,00929
2024-04-23,0.2,00929
2024-05-21,0.2,00929
2024-06-20,0.2,00929
2024-07-17,0.18,00929
2024-08-20,0.18,00929
2024-09-19,0.16,00929
2024-10-22,0.14,00929
2024-11-19,0.11,00929
2024-12-18,0.05,00929
2025-01-16,0.05,00929
2025-02-19,0.05,00929
2025-03-19,0.05,00929
2025-04-22,0.05,00929
2025-05-20,0.07,00929
2025-06-18,0.07,00929
2025-07-17,0.07,00929
2025-08-19,0.08,00929
2025-09-17,0.08,00929
2025-10-21,0.08,00929
2025-11-19,0.09,00929
2025-12-17,0.09,00929
2026-01-20,0.1,00929
2026-03-03,0.1,00929
2026-03-18,0.11,00929
2026-04-21,0.13,00929
2026-05-20,0.13,00929
2024-08-01,0.063,00939
2024-09-03,0.063,00939
2024-10-01,0.063,00939
2024-10-04,0.063,00939
2024-10-30,0.063,00939
2024-11-01,0.063,00939
