date,stock_id,type,value,origin_name
2026-03-31,1101,EPS,0.1,基本每股盈餘
2026-03-31,1101,Revenue,33168148000.0,營業收入
2026-03-31,1102,EPS,0.56,基本每股盈餘
2026-03-31,1102,Revenue,14829491000.0,營業收入
2026-03-31,1210,EPS,0.94,基本每股盈餘
2026-03-31,1210,Revenue,26901827000.0,營業收入
2026-03-31,1215,EPS,1.26,基本每股盈餘
2026-03-31,1215,Revenue,7176319000.0,營業收入
2026-03-31,1216,EPS,1.15,基本每股盈餘
2026-03-31,1216,Revenue,175017371000.0,營業收入
2026-03-31,1217,EPS,-0.13,基本每股盈餘
2026-03-31,1217,Revenue,1166163000.0,營業收入
2026-03-31,1218,EPS,0.32,基本每股盈餘
2026-03-31,1218,Revenue,2653792000.0,營業收入
2026-03-31,1301,Revenue,41985122000.0,營業收入
2026-03-31,1301,EPS,0.51,基本每股盈餘
2026-03-31,1303,EPS,1.8,基本每股盈餘
2026-03-31,1303,Revenue,68596393000.0,營業收入
2026-03-31,1304,EPS,-0.41,基本每股盈餘
2026-03-31,1304,Revenue,10746648000.0,營業收入
2026-03-31,1305,EPS,-0.21,基本每股盈餘
2026-03-31,1305,Revenue,2673905000.0,營業收入
2026-03-31,1307,EPS,0.97,基本每股盈餘
2026-03-31,1307,Revenue,2952809000.0,營業收入
2026-03-31,1326,EPS,1.07,基本每股盈餘
2026-03-31,1326,Revenue,81749811000.0,營業收入
2026-03-31,1402,EPS,0.61,基本每股盈餘
2026-03-31,1402,Revenue,61298588000.0,營業收入
2026-03-31,1466,Revenue,547834000.0,營業收入
2026-03-31,1466,EPS,0.17,基本每股盈餘
2026-03-31,1504,EPS,0.51,基本每股盈餘
2026-03-31,1504,Revenue,14235194000.0,營業收入
2026-03-31,1514,EPS,0.73,基本每股盈餘
2026-03-31,1514,Revenue,2526342000.0,營業收入
2026-03-31,1537,EPS,2.11,基本每股盈餘
2026-03-31,1537,Revenue,1713997000.0,營業收入
2026-03-31,1560,Revenue,2293229000.0,營業收入
2026-03-31,1560,EPS,2.94,基本每股盈餘
2026-03-31,1580,EPS,2.73,基本每股盈餘
2026-03-31,1580,Revenue,1094432000.0,營業收入
2026-03-31,1582,EPS,0.35,基本每股盈餘
2026-03-31,1582,Revenue,2115340000.0,營業收入
2026-03-31,1583,EPS,0.18,基本每股盈餘
2026-03-31,1583,Revenue,932415000.0,營業收入
2026-03-31,1584,Revenue,513036000.0,營業收入
2026-03-31,1584,EPS,0.09,基本每股盈餘
2026-03-31,1586,EPS,0.17,基本每股盈餘
2026-03-31,1586,Revenue,547977000.0,營業收入
2026-03-31,1590,EPS,13.35,基本每股盈餘
2026-03-31,1590,Revenue,10013502000.0,營業收入
2026-03-31,1603,EPS,0.29,基本每股盈餘
2026-03-31,1603,Revenue,1304277000.0,營業收入
2026-03-31,1605,EPS,0.81,基本每股盈餘
2026-03-31,1605,Revenue,41070352000.0,營業收入
2026-03-31,1608,EPS,0.37,基本每股盈餘
2026-03-31,1608,Revenue,3453119000.0,營業收入
2026-03-31,1609,Revenue,8341066000.0,營業收入
2026-03-31,1609,EPS,0.66,基本每股盈餘
2026-03-31,1612,EPS,0.82,基本每股盈餘
2026-03-31,1612,Revenue,1919326000.0,營業收入
2026-03-31,1710,EPS,-0.15,基本每股盈餘
2026-03-31,1710,Revenue,5345825000.0,營業收入
2026-03-31,1711,EPS,0.09,基本每股盈餘
2026-03-31,1711,Revenue,2045450000.0,營業收入
2026-03-31,1760,EPS,0.6,基本每股盈餘
2026-03-31,1760,Revenue,519291000.0,營業收入
2026-03-31,1789,Revenue,659708000.0,營業收入
2026-03-31,1789,EPS,0.02,基本每股盈餘
2026-03-31,2002,EPS,-0.16,基本每股盈餘
2026-03-31,2002,Revenue,79161889000.0,營業收入
2026-03-31,2006,EPS,1.66,基本每股盈餘
2026-03-31,2006,Revenue,13602390000.0,營業收入
2026-03-31,2007,Revenue,1050591000.0,營業收入
2026-03-31,2007,EPS,-0.45,基本每股盈餘
2026-03-31,2008,EPS,0.13,基本每股盈餘
2026-03-31,2008,Revenue,349981000.0,營業收入
2026-03-31,2009,EPS,0.21,基本每股盈餘
2026-03-31,2009,Revenue,799069000.0,營業收入
2026-03-31,2010,EPS,0.57,基本每股盈餘
2026-03-31,2010,Revenue,6434872000.0,營業收入
2026-03-31,2012,EPS,-0.12,基本每股盈餘
2026-03-31,2012,Revenue,1798919000.0,營業收入
2026-03-31,2013,EPS,0.66,基本每股盈餘
2026-03-31,2013,Revenue,4623919000.0,營業收入
2026-03-31,2014,EPS,-0.1,基本每股盈餘
2026-03-31,2014,Revenue,4514131000.0,營業收入
2026-03-31,2015,EPS,0.91,基本每股盈餘
2026-03-31,2015,Revenue,6404574000.0,營業收入
2026-03-31,2049,EPS,1.64,基本每股盈餘
2026-03-31,2049,Revenue,6379288000.0,營業收入
2026-03-31,2059,EPS,36.58,基本每股盈餘
2026-03-31,2059,Revenue,5449725000.0,營業收入
2026-03-31,2061,EPS,0.3,基本每股盈餘
2026-03-31,2061,Revenue,316733000.0,營業收入
2026-03-31,2062,EPS,0.0,基本每股盈餘
2026-03-31,2062,Revenue,1629689000.0,營業收入
2026-03-31,2063,EPS,0.33,基本每股盈餘
2026-03-31,2063,Revenue,220196000.0,營業收入
2026-03-31,2064,EPS,0.0,基本每股盈餘
2026-03-31,2064,Revenue,442937000.0,營業收入
2026-03-31,2065,EPS,0.92,基本每股盈餘
2026-03-31,2065,Revenue,545560000.0,營業收入
2026-03-31,2201,Revenue,16975232000.0,營業收入
2026-03-31,2201,EPS,0.35,基本每股盈餘
2026-03-31,2204,EPS,1.18,基本每股盈餘
2026-03-31,2204,Revenue,9416045000.0,營業收入
2026-03-31,2207,EPS,7.95,基本每股盈餘
2026-03-31,2208,EPS,0.07,基本每股盈餘
2026-03-31,2208,Revenue,4731963000.0,營業收入
2026-03-31,2301,Revenue,43407292000.0,營業收入
2026-03-31,2301,EPS,1.66,基本每股盈餘
2026-03-31,2303,EPS,1.29,基本每股盈餘
2026-03-31,2303,Revenue,61037902000.0,營業收入
2026-03-31,2308,EPS,7.91,基本每股盈餘
2026-03-31,2308,Revenue,159352652000.0,營業收入
2026-03-31,2317,EPS,3.56,基本每股盈餘
2026-03-31,2317,Revenue,2119533391000.0,營業收入
2026-03-31,2324,EPS,0.45,基本每股盈餘
2026-03-31,2324,Revenue,201303536000.0,營業收入
2026-03-31,2327,EPS,3.9,基本每股盈餘
2026-03-31,2327,Revenue,38165648000.0,營業收入
2026-03-31,2329,EPS,0.33,基本每股盈餘
2026-03-31,2329,Revenue,4860476000.0,營業收入
2026-03-31,2330,EPS,22.08,基本每股盈餘
2026-03-31,2330,Revenue,1134103440000.0,營業收入
2026-03-31,2332,EPS,-0.05,基本每股盈餘
2026-03-31,2332,Revenue,3440889000.0,營業收入
2026-03-31,2337,EPS,0.9,基本每股盈餘
2026-03-31,2337,Revenue,10468868000.0,營業收入
2026-03-31,2340,EPS,-0.49,基本每股盈餘
2026-03-31,2340,Revenue,954029000.0,營業收入
2026-03-31,2344,Revenue,38253064000.0,營業收入
2026-03-31,2344,EPS,2.25,基本每股盈餘
2026-03-31,2345,Revenue,70120741000.0,營業收入
2026-03-31,2345,EPS,14.92,基本每股盈餘
2026-03-31,2348,EPS,0.16,基本每股盈餘
2026-03-31,2348,Revenue,1308225000.0,營業收入
2026-03-31,2351,EPS,1.22,基本每股盈餘
2026-03-31,2351,Revenue,2805040000.0,營業收入
2026-03-31,2353,EPS,0.23,基本每股盈餘
2026-03-31,2353,Revenue,72423012000.0,營業收入
2026-03-31,2354,EPS,0.47,基本每股盈餘
2026-03-31,2354,Revenue,25274831000.0,營業收入
2026-03-31,2356,EPS,0.68,基本每股盈餘
2026-03-31,2356,Revenue,200310505000.0,營業收入
2026-03-31,2357,Revenue,208369726000.0,營業收入
2026-03-31,2357,EPS,13.19,基本每股盈餘
2026-03-31,2363,EPS,0.17,基本每股盈餘
2026-03-31,2363,Revenue,1050018000.0,營業收入
2026-03-31,2364,EPS,0.83,基本每股盈餘
2026-03-31,2364,Revenue,338915000.0,營業收入
2026-03-31,2365,Revenue,241791000.0,營業收入
2026-03-31,2365,EPS,0.14,基本每股盈餘
2026-03-31,2368,EPS,6.87,基本每股盈餘
2026-03-31,2368,Revenue,19312774000.0,營業收入
2026-03-31,2379,EPS,8.44,基本每股盈餘
2026-03-31,2379,Revenue,36422566000.0,營業收入
2026-03-31,2382,EPS,5.5,基本每股盈餘
2026-03-31,2382,Revenue,809221055000.0,營業收入
2026-03-31,2383,Revenue,33067261000.0,營業收入
2026-03-31,2383,EPS,14.9,基本每股盈餘
2026-03-31,2388,EPS,0.08,基本每股盈餘
2026-03-31,2388,Revenue,2141087000.0,營業收入
2026-03-31,2393,EPS,0.91,基本每股盈餘
2026-03-31,2393,Revenue,5039603000.0,營業收入
2026-03-31,2397,EPS,0.76,基本每股盈餘
2026-03-31,2397,Revenue,3030612000.0,營業收入
2026-03-31,2399,EPS,1.48,基本每股盈餘
2026-03-31,2399,Revenue,434635000.0,營業收入
2026-03-31,2406,EPS,0.27,基本每股盈餘
2026-03-31,2406,Revenue,2717146000.0,營業收入
2026-03-31,2408,EPS,8.41,基本每股盈餘
2026-03-31,2408,Revenue,49086932000.0,營業收入
2026-03-31,2409,EPS,-0.15,基本每股盈餘
2026-03-31,2409,Revenue,69031355000.0,營業收入
2026-03-31,2412,EPS,1.3,基本每股盈餘
2026-03-31,2412,Revenue,59988435000.0,營業收入
2026-03-31,2421,EPS,2.36,基本每股盈餘
2026-03-31,2421,Revenue,5019470000.0,營業收入
2026-03-31,2429,Revenue,109224000.0,營業收入
2026-03-31,2429,EPS,-0.45,基本每股盈餘
2026-03-31,2436,EPS,0.7,基本每股盈餘
2026-03-31,2436,Revenue,1047731000.0,營業收入
2026-03-31,2439,Revenue,10970652000.0,營業收入
2026-03-31,2439,EPS,1.03,基本每股盈餘
2026-03-31,2441,EPS,1.4,基本每股盈餘
2026-03-31,2441,Revenue,4722344000.0,營業收入
2026-03-31,2449,EPS,1.87,基本每股盈餘
2026-03-31,2449,Revenue,10191943000.0,營業收入
2026-03-31,2454,EPS,15.17,基本每股盈餘
2026-03-31,2454,Revenue,149150510000.0,營業收入
2026-03-31,2455,EPS,1.06,基本每股盈餘
2026-03-31,2455,Revenue,959310000.0,營業收入
2026-03-31,2460,EPS,0.11,基本每股盈餘
2026-03-31,2460,Revenue,1130635000.0,營業收入
2026-03-31,2462,EPS,0.01,基本每股盈餘
2026-03-31,2462,Revenue,964560000.0,營業收入
2026-03-31,2471,EPS,0.49,基本每股盈餘
2026-03-31,2471,Revenue,232263000.0,營業收入
2026-03-31,2474,EPS,2.63,基本每股盈餘
2026-03-31,2474,Revenue,3773945000.0,營業收入
2026-03-31,2498,EPS,-0.29,基本每股盈餘
2026-03-31,2498,Revenue,652623000.0,營業收入
2026-03-31,2511,EPS,0.06,基本每股盈餘
2026-03-31,2511,Revenue,2153305000.0,營業收入
2026-03-31,2515,EPS,0.16,基本每股盈餘
2026-03-31,2515,Revenue,6998716000.0,營業收入
2026-03-31,2528,EPS,-0.11,基本每股盈餘
2026-03-31,2528,Revenue,10284000.0,營業收入
2026-03-31,2534,EPS,-0.02,基本每股盈餘
2026-03-31,2534,Revenue,209173000.0,營業收入
2026-03-31,2535,EPS,2.88,基本每股盈餘
2026-03-31,2535,Revenue,7158996000.0,營業收入
2026-03-31,2536,EPS,0.15,基本每股盈餘
2026-03-31,2536,Revenue,885984000.0,營業收入
2026-03-31,2537,EPS,0.4,基本每股盈餘
2026-03-31,2537,Revenue,1212617000.0,營業收入
2026-03-31,2538,EPS,0.02,基本每股盈餘
2026-03-31,2538,Revenue,82552000.0,營業收入
2026-03-31,2540,EPS,-0.01,基本每股盈餘
2026-03-31,2540,Revenue,1723776000.0,營業收入
2026-03-31,2542,EPS,1.15,基本每股盈餘
2026-03-31,2542,Revenue,16191907000.0,營業收入
2026-03-31,2543,EPS,0.37,基本每股盈餘
2026-03-31,2543,Revenue,2901102000.0,營業收入
2026-03-31,2545,EPS,-0.01,基本每股盈餘
2026-03-31,2545,Revenue,1966951000.0,營業收入
2026-03-31,2546,EPS,1.43,基本每股盈餘
2026-03-31,2546,Revenue,4271987000.0,營業收入
2026-03-31,2547,Revenue,1604263000.0,營業收入
2026-03-31,2547,EPS,0.06,基本每股盈餘
2026-03-31,2548,EPS,2.28,基本每股盈餘
2026-03-31,2548,Revenue,4206418000.0,營業收入
2026-03-31,2597,EPS,2.38,基本每股盈餘
2026-03-31,2597,Revenue,7352773000.0,營業收入
2026-03-31,2718,EPS,2.63,基本每股盈餘
2026-03-31,2718,Revenue,148375000.0,營業收入
2026-03-31,2719,EPS,0.75,基本每股盈餘
2026-03-31,2719,Revenue,522665000.0,營業收入
2026-03-31,2903,EPS,0.39,基本每股盈餘
2026-03-31,2903,Revenue,8445107000.0,營業收入
2026-03-31,2905,EPS,0.03,基本每股盈餘
2026-03-31,2908,EPS,0.32,基本每股盈餘
2026-03-31,2908,Revenue,9402236000.0,營業收入
2026-03-31,2910,EPS,0.29,基本每股盈餘
2026-03-31,2910,Revenue,134947000.0,營業收入
2026-03-31,2911,EPS,0.66,基本每股盈餘
2026-03-31,2911,Revenue,431046000.0,營業收入
2026-03-31,2912,EPS,2.97,基本每股盈餘
2026-03-31,2912,Revenue,88527614000.0,營業收入
2026-03-31,2915,EPS,2.59,基本每股盈餘
2026-03-31,2915,Revenue,418613000.0,營業收入
2026-03-31,2923,EPS,0.02,基本每股盈餘
2026-03-31,2923,Revenue,2068437000.0,營業收入
2026-03-31,3008,EPS,46.63,基本每股盈餘
2026-03-31,3008,Revenue,15544079000.0,營業收入
2026-03-31,3014,Revenue,1734052000.0,營業收入
2026-03-31,3014,EPS,2.85,基本每股盈餘
2026-03-31,3016,EPS,0.35,基本每股盈餘
2026-03-31,3016,Revenue,1058983000.0,營業收入
2026-03-31,3017,EPS,20.17,基本每股盈餘
2026-03-31,3017,Revenue,49037946000.0,營業收入
2026-03-31,3023,Revenue,8292838000.0,營業收入
2026-03-31,3023,EPS,3.6,基本每股盈餘
2026-03-31,3028,EPS,3.05,基本每股盈餘
2026-03-31,3028,Revenue,17721795000.0,營業收入
2026-03-31,3030,EPS,3.5,基本每股盈餘
2026-03-31,3030,Revenue,2441415000.0,營業收入
2026-03-31,3031,EPS,0.13,基本每股盈餘
2026-03-31,3031,Revenue,285293000.0,營業收入
2026-03-31,3033,EPS,1.52,基本每股盈餘
2026-03-31,3033,Revenue,30857485000.0,營業收入
2026-03-31,3034,EPS,6.19,基本每股盈餘
2026-03-31,3034,Revenue,23145303000.0,營業收入
2026-03-31,3035,EPS,0.4,基本每股盈餘
2026-03-31,3035,Revenue,2588502000.0,營業收入
2026-03-31,3036,EPS,5.32,基本每股盈餘
2026-03-31,3036,Revenue,494272920000.0,營業收入
2026-03-31,3037,Revenue,37446455000.0,營業收入
2026-03-31,3037,EPS,3.28,基本每股盈餘
2026-03-31,3038,EPS,0.37,基本每股盈餘
2026-03-31,3038,Revenue,732363000.0,營業收入
2026-03-31,3040,EPS,0.04,基本每股盈餘
2026-03-31,3040,Revenue,35189000.0,營業收入
2026-03-31,3041,Revenue,351835000.0,營業收入
2026-03-31,3041,EPS,-0.48,基本每股盈餘
2026-03-31,3042,EPS,1.32,基本每股盈餘
2026-03-31,3042,Revenue,3339207000.0,營業收入
2026-03-31,3044,EPS,5.61,基本每股盈餘
2026-03-31,3044,Revenue,20964231000.0,營業收入
2026-03-31,3045,Revenue,49778303000.0,營業收入
2026-03-31,3045,EPS,1.37,基本每股盈餘
2026-03-31,3046,EPS,1.2,基本每股盈餘
2026-03-31,3046,Revenue,1818011000.0,營業收入
2026-03-31,3047,EPS,-0.1,基本每股盈餘
2026-03-31,3047,Revenue,761074000.0,營業收入
2026-03-31,3048,EPS,1.22,基本每股盈餘
2026-03-31,3048,Revenue,33502237000.0,營業收入
2026-03-31,3049,Revenue,99550000.0,營業收入
2026-03-31,3049,EPS,-0.04,基本每股盈餘
2026-03-31,3057,EPS,0.02,基本每股盈餘
2026-03-31,3057,Revenue,167729000.0,營業收入
2026-03-31,3059,EPS,0.26,基本每股盈餘
2026-03-31,3059,Revenue,2020291000.0,營業收入
2026-03-31,3062,EPS,-0.54,基本每股盈餘
2026-03-31,3062,Revenue,1113318000.0,營業收入
2026-03-31,3085,EPS,-0.24,基本每股盈餘
2026-03-31,3085,Revenue,11821000.0,營業收入
2026-03-31,3105,EPS,1.26,基本每股盈餘
2026-03-31,3105,Revenue,4590060000.0,營業收入
2026-03-31,3141,EPS,0.84,基本每股盈餘
2026-03-31,3141,Revenue,364294000.0,營業收入
2026-03-31,3189,EPS,1.17,基本每股盈餘
2026-03-31,3189,Revenue,11104965000.0,營業收入
2026-03-31,3209,EPS,1.52,基本每股盈餘
2026-03-31,3209,Revenue,17067413000.0,營業收入
2026-03-31,3211,EPS,2.05,基本每股盈餘
2026-03-31,3211,Revenue,3344523000.0,營業收入
2026-03-31,3228,EPS,-0.55,基本每股盈餘
2026-03-31,3228,Revenue,75858000.0,營業收入
2026-03-31,3231,EPS,3.06,基本每股盈餘
2026-03-31,3231,Revenue,846303026000.0,營業收入
2026-03-31,3260,EPS,30.05,基本每股盈餘
2026-03-31,3260,Revenue,26099523000.0,營業收入
2026-03-31,3376,EPS,0.15,基本每股盈餘
2026-03-31,3376,Revenue,2352701000.0,營業收入
2026-03-31,3406,EPS,7.9,基本每股盈餘
2026-03-31,3406,Revenue,6140741000.0,營業收入
2026-03-31,3443,EPS,12.28,基本每股盈餘
2026-03-31,3443,Revenue,11447812000.0,營業收入
2026-03-31,3481,EPS,0.2,基本每股盈餘
2026-03-31,3481,Revenue,66644538000.0,營業收入
2026-03-31,3494,EPS,-0.29,基本每股盈餘
2026-03-31,3494,Revenue,248180000.0,營業收入
2026-03-31,3515,EPS,4.14,基本每股盈餘
2026-03-31,3515,Revenue,13366639000.0,營業收入
2026-03-31,3518,EPS,2.81,基本每股盈餘
2026-03-31,3518,Revenue,62020000.0,營業收入
2026-03-31,3530,EPS,0.44,基本每股盈餘
2026-03-31,3530,Revenue,541943000.0,營業收入
2026-03-31,3532,EPS,-0.18,基本每股盈餘
2026-03-31,3532,Revenue,3308768000.0,營業收入
2026-03-31,3533,EPS,21.37,基本每股盈餘
2026-03-31,3533,Revenue,9327579000.0,營業收入
2026-03-31,3548,EPS,-1.35,基本每股盈餘
2026-03-31,3548,Revenue,1693588000.0,營業收入
2026-03-31,3576,EPS,1.07,基本每股盈餘
2026-03-31,3576,Revenue,520029000.0,營業收入
2026-03-31,3583,Revenue,3120325000.0,營業收入
2026-03-31,3583,EPS,4.14,基本每股盈餘
2026-03-31,3593,EPS,-0.7,基本每股盈餘
2026-03-31,3593,Revenue,132981000.0,營業收入
2026-03-31,3596,EPS,3.12,基本每股盈餘
2026-03-31,3596,Revenue,12784117000.0,營業收入
2026-03-31,3597,EPS,0.08,基本每股盈餘
2026-03-31,3597,Revenue,198150000.0,營業收入
2026-03-31,3653,Revenue,5305216000.0,營業收入
2026-03-31,3653,EPS,9.53,基本每股盈餘
2026-03-31,3661,EPS,17.55,基本每股盈餘
2026-03-31,3661,Revenue,4186855000.0,營業收入
2026-03-31,3691,EPS,2.97,基本每股盈餘
2026-03-31,3691,Revenue,2506700000.0,營業收入
2026-03-31,3706,EPS,1.1,基本每股盈餘
2026-03-31,3706,Revenue,31863922000.0,營業收入
2026-03-31,3707,Revenue,1534730000.0,營業收入
2026-03-31,3707,EPS,-0.35,基本每股盈餘
2026-03-31,3711,EPS,3.24,基本每股盈餘
2026-03-31,3711,Revenue,173662152000.0,營業收入
2026-03-31,4106,EPS,0.46,基本每股盈餘
2026-03-31,4106,Revenue,583212000.0,營業收入
2026-03-31,4108,EPS,-0.08,基本每股盈餘
2026-03-31,4108,Revenue,34519000.0,營業收入
2026-03-31,4119,EPS,0.17,基本每股盈餘
2026-03-31,4119,Revenue,375798000.0,營業收入
2026-03-31,4121,EPS,-0.11,基本每股盈餘
2026-03-31,4121,Revenue,938310000.0,營業收入
2026-03-31,4123,EPS,2.62,基本每股盈餘
2026-03-31,4123,Revenue,465976000.0,營業收入
2026-03-31,4126,EPS,1.44,基本每股盈餘
2026-03-31,4126,Revenue,581571000.0,營業收入
2026-03-31,4128,EPS,-0.31,基本每股盈餘
2026-03-31,4128,Revenue,501633000.0,營業收入
2026-03-31,4130,EPS,-0.09,基本每股盈餘
2026-03-31,4130,Revenue,110383000.0,營業收入
2026-03-31,4133,EPS,0.28,基本每股盈餘
2026-03-31,4133,Revenue,87906000.0,營業收入
2026-03-31,4142,EPS,-0.44,基本每股盈餘
2026-03-31,4142,Revenue,82316000.0,營業收入
2026-03-31,4147,EPS,0.06,基本每股盈餘
