date,stock_id,type,value,origin_name
2024-06-30,1101,EPS,0.25,基本每股盈餘
2024-06-30,1760,EPS,0.23,基本每股盈餘
2024-06-30,3596,EPS,2.66,基本每股盈餘
2024-06-30,3593,EPS,-0.13,基本每股盈餘
2024-06-30,1762,EPS,0.27,基本每股盈餘
2024-06-30,3583,EPS,2.82,基本每股盈餘
2024-06-30,1777,EPS,2.21,基本每股盈餘
2024-06-30,3597,EPS,0.17,基本每股盈餘
2024-06-30,3576,EPS,-0.52,基本每股盈餘
2024-06-30,3550,EPS,-0.05,基本每股盈餘
2024-06-30,1786,EPS,1.0,基本每股盈餘
2024-06-30,3548,EPS,2.48,基本每股盈餘
2024-06-30,3533,EPS,20.0,基本每股盈餘
2024-06-30,1788,EPS,2.45,基本每股盈餘
2024-06-30,3532,EPS,0.89,基本每股盈餘
2024-06-30,1784,EPS,0.35,基本每股盈餘
2024-06-30,1733,EPS,0.27,基本每股盈餘
2024-06-30,3653,EPS,6.02,基本每股盈餘
2024-06-30,1726,EPS,1.18,基本每股盈餘
2024-06-30,4116,EPS,0.66,基本每股盈餘
2024-06-30,1713,EPS,2.25,基本每股盈餘
2024-06-30,4108,EPS,-0.08,基本每股盈餘
2024-06-30,4106,EPS,0.21,基本每股盈餘
2024-06-30,1717,EPS,0.38,基本每股盈餘
2024-06-30,3711,EPS,1.8,基本每股盈餘
2024-06-30,1718,EPS,0.07,基本每股盈餘
2024-06-30,3707,EPS,-0.34,基本每股盈餘
2024-06-30,1722,EPS,0.46,基本每股盈餘
2024-06-30,3706,EPS,0.92,基本每股盈餘
2024-06-30,1723,EPS,1.49,基本每股盈餘
2024-06-30,3691,EPS,-0.17,基本每股盈餘
2024-06-30,3686,EPS,-0.03,基本每股盈餘
2024-06-30,1725,EPS,0.34,基本每股盈餘
2024-06-30,3661,EPS,20.05,基本每股盈餘
2024-06-30,1789,EPS,0.09,基本每股盈餘
2024-06-30,1712,EPS,0.55,基本每股盈餘
2024-06-30,3530,EPS,-0.09,基本每股盈餘
2024-06-30,3518,EPS,-0.55,基本每股盈餘
2024-06-30,3211,EPS,8.92,基本每股盈餘
2024-06-30,3209,EPS,0.82,基本每股盈餘
2024-06-30,2049,EPS,1.65,基本每股盈餘
2024-06-30,3189,EPS,0.2,基本每股盈餘
2024-06-30,2059,EPS,15.29,基本每股盈餘
2024-06-30,3141,EPS,0.43,基本每股盈餘
2024-06-30,2015,EPS,1.33,基本每股盈餘
2024-06-30,2061,EPS,0.61,基本每股盈餘
2024-06-30,2062,EPS,1.07,基本每股盈餘
2024-06-30,3085,EPS,-0.41,基本每股盈餘
2024-06-30,3062,EPS,0.06,基本每股盈餘
2024-06-30,2063,EPS,0.51,基本每股盈餘
2024-06-30,3059,EPS,0.28,基本每股盈餘
2024-06-30,2064,EPS,0.14,基本每股盈餘
2024-06-30,3105,EPS,1.14,基本每股盈餘
2024-06-30,3228,EPS,0.59,基本每股盈餘
2024-06-30,2014,EPS,-0.19,基本每股盈餘
2024-06-30,3230,EPS,4.88,基本每股盈餘
2024-06-30,2006,EPS,1.59,基本每股盈餘
2024-06-30,3515,EPS,2.17,基本每股盈餘
2024-06-30,3494,EPS,-0.06,基本每股盈餘
2024-06-30,2007,EPS,-0.55,基本每股盈餘
2024-06-30,3481,EPS,0.12,基本每股盈餘
2024-06-30,2008,EPS,0.18,基本每股盈餘
2024-06-30,3443,EPS,6.78,基本每股盈餘
2024-06-30,2009,EPS,0.15,基本每股盈餘
2024-06-30,3406,EPS,8.87,基本每股盈餘
2024-06-30,2010,EPS,0.38,基本每股盈餘
2024-06-30,3376,EPS,2.18,基本每股盈餘
2024-06-30,3260,EPS,2.58,基本每股盈餘
2024-06-30,2012,EPS,0.55,基本每股盈餘
2024-06-30,3231,EPS,1.55,基本每股盈餘
2024-06-30,2013,EPS,0.69,基本每股盈餘
2024-06-30,2002,EPS,0.09,基本每股盈餘
2024-06-30,4117,EPS,-1.77,基本每股盈餘
2024-06-30,4118,Revenue,5027000.0,營業收入
2024-06-30,1711,EPS,0.22,基本每股盈餘
2024-06-30,1530,EPS,0.49,基本每股盈餘
2024-06-30,5009,EPS,1.2,基本每股盈餘
2024-06-30,4968,EPS,0.84,基本每股盈餘
2024-06-30,1531,EPS,0.12,基本每股盈餘
2024-06-30,4966,EPS,7.11,基本每股盈餘
2024-06-30,1532,EPS,2.29,基本每股盈餘
2024-06-30,5269,EPS,13.18,基本每股盈餘
2024-06-30,4961,EPS,4.91,基本每股盈餘
2024-06-30,4960,EPS,-0.01,基本每股盈餘
2024-06-30,1535,EPS,0.98,基本每股盈餘
2024-06-30,4958,EPS,0.51,基本每股盈餘
2024-06-30,4938,EPS,2.1,基本每股盈餘
2024-06-30,1536,EPS,0.15,基本每股盈餘
2024-06-30,4919,EPS,-0.05,基本每股盈餘
2024-06-30,1533,EPS,-0.52,基本每股盈餘
2024-06-30,1529,EPS,0.26,基本每股盈餘
2024-06-30,5274,EPS,13.44,基本每股盈餘
2024-06-30,1528,EPS,0.05,基本每股盈餘
2024-06-30,5523,EPS,-0.09,基本每股盈餘
2024-06-30,1521,EPS,0.46,基本每股盈餘
2024-06-30,5522,EPS,1.33,基本每股盈餘
2024-06-30,5521,EPS,0.01,基本每股盈餘
2024-06-30,1522,EPS,1.65,基本每股盈餘
2024-06-30,5519,EPS,0.48,基本每股盈餘
2024-06-30,1524,EPS,0.63,基本每股盈餘
2024-06-30,5515,EPS,0.44,基本每股盈餘
2024-06-30,1525,EPS,0.98,基本每股盈餘
2024-06-30,5512,EPS,-0.04,基本每股盈餘
2024-06-30,1526,EPS,0.09,基本每股盈餘
2024-06-30,5483,EPS,2.94,基本每股盈餘
2024-06-30,5371,EPS,0.72,基本每股盈餘
2024-06-30,1527,EPS,0.92,基本每股盈餘
2024-06-30,5347,EPS,1.1,基本每股盈餘
2024-06-30,1537,EPS,3.29,基本每股盈餘
2024-06-30,4906,EPS,0.74,基本每股盈餘
2024-06-30,1560,EPS,1.75,基本每股盈餘
2024-06-30,4904,EPS,0.86,基本每股盈餘
2024-06-30,1603,EPS,0.51,基本每股盈餘
2024-06-30,4142,EPS,-0.65,基本每股盈餘
2024-06-30,4133,EPS,0.3,基本每股盈餘
2024-06-30,1605,EPS,0.55,基本每股盈餘
2024-06-30,4130,EPS,0.07,基本每股盈餘
2024-06-30,1608,EPS,0.5,基本每股盈餘
2024-06-30,4128,EPS,-0.27,基本每股盈餘
2024-06-30,1609,EPS,1.24,基本每股盈餘
2024-06-30,4126,EPS,1.38,基本每股盈餘
2024-06-30,1612,EPS,0.9,基本每股盈餘
2024-06-30,4123,EPS,-0.1,基本每股盈餘
2024-06-30,4121,EPS,-0.09,基本每股盈餘
2024-06-30,1701,Revenue,2215722000.0,營業收入
2024-06-30,1710,EPS,0.01,基本每股盈餘
2024-06-30,4119,EPS,0.52,基本每股盈餘
2024-06-30,4147,EPS,-0.1,基本每股盈餘
2024-06-30,3057,EPS,-0.35,基本每股盈餘
2024-06-30,1591,EPS,-0.35,基本每股盈餘
2024-06-30,1590,EPS,11.31,基本每股盈餘
2024-06-30,1580,EPS,3.88,基本每股盈餘
2024-06-30,4743,EPS,-0.36,基本每股盈餘
2024-06-30,4175,EPS,-0.19,基本每股盈餘
2024-06-30,1582,EPS,2.32,基本每股盈餘
2024-06-30,4174,EPS,-2.36,基本每股盈餘
2024-06-30,1583,EPS,1.52,基本每股盈餘
2024-06-30,4171,EPS,-0.63,基本每股盈餘
2024-06-30,1584,EPS,1.0,基本每股盈餘
2024-06-30,4168,EPS,-0.46,基本每股盈餘
2024-06-30,1585,EPS,-0.41,基本每股盈餘
2024-06-30,4163,EPS,1.24,基本每股盈餘
2024-06-30,1586,EPS,0.08,基本每股盈餘
2024-06-30,4162,EPS,1.11,基本每股盈餘
2024-06-30,1589,EPS,-3.33,基本每股盈餘
2024-06-30,4160,EPS,0.72,基本每股盈餘
2024-06-30,4148,EPS,0.12,基本每股盈餘
2024-06-30,2065,EPS,1.01,基本每股盈餘
2024-06-30,3052,EPS,0.22,基本每股盈餘
2024-06-30,2103,EPS,0.39,基本每股盈餘
2024-06-30,2852,Revenue,2029587000.0,營業收入
2024-06-30,2439,EPS,2.24,基本每股盈餘
2024-06-30,2851,Revenue,5881257000.0,營業收入
2024-06-30,2850,Revenue,5063366000.0,營業收入
2024-06-30,2441,EPS,1.27,基本每股盈餘
2024-06-30,2849,EPS,0.17,基本每股盈餘（元）
2024-06-30,2436,EPS,0.51,基本每股盈餘
2024-06-30,2449,EPS,1.56,基本每股盈餘
2024-06-30,2454,EPS,16.19,基本每股盈餘
2024-06-30,2834,EPS,0.41,基本每股盈餘（元）
2024-06-30,2455,EPS,1.09,基本每股盈餘
2024-06-30,2823,Revenue,64690391000.0,營業收入
2024-06-30,2820,EPS,0.18,基本每股盈餘（元）
2024-06-30,2460,EPS,0.0,基本每股盈餘
2024-06-30,2838,EPS,0.21,基本每股盈餘（元）
2024-06-30,2855,EPS,0.92,基本每股盈餘（元）
2024-06-30,2429,EPS,-0.97,基本每股盈餘
2024-06-30,2856,EPS,0.69,基本每股盈餘（元）
2024-06-30,2397,EPS,0.64,基本每股盈餘
2024-06-30,2886,EPS,0.58,基本每股盈餘（元）
2024-06-30,2399,EPS,0.05,基本每股盈餘
2024-06-30,2885,EPS,0.63,基本每股盈餘（元）
2024-06-30,2884,EPS,0.39,基本每股盈餘（元）
2024-06-30,2406,EPS,-0.11,基本每股盈餘
2024-06-30,2883,EPS,0.49,基本每股盈餘（元）
2024-06-30,2408,EPS,-0.26,基本每股盈餘
2024-06-30,2882,EPS,2.06,基本每股盈餘（元）
2024-06-30,2409,EPS,-0.03,基本每股盈餘
2024-06-30,2881,EPS,3.63,基本每股盈餘（元）
2024-06-30,2412,EPS,1.27,基本每股盈餘
2024-06-30,2880,EPS,0.4,基本每股盈餘（元）
2024-06-30,2867,Revenue,35370456000.0,營業收入
2024-06-30,2421,EPS,1.39,基本每股盈餘
2024-06-30,2816,Revenue,2708175000.0,營業收入
2024-06-30,2461,EPS,1.47,基本每股盈餘
2024-06-30,2812,EPS,0.38,基本每股盈餘（元）
2024-06-30,2462,EPS,0.57,基本每股盈餘
2024-06-30,2545,EPS,2.45,基本每股盈餘
2024-06-30,2511,EPS,-0.05,基本每股盈餘
2024-06-30,2543,EPS,3.29,基本每股盈餘
2024-06-30,2514,EPS,0.43,基本每股盈餘
2024-06-30,2542,EPS,0.37,基本每股盈餘
2024-06-30,2515,EPS,0.1,基本每股盈餘
2024-06-30,2540,EPS,1.32,基本每股盈餘
2024-06-30,2516,EPS,0.02,基本每股盈餘
2024-06-30,2538,EPS,0.07,基本每股盈餘
2024-06-30,2537,EPS,0.43,基本每股盈餘
2024-06-30,2520,EPS,4.4,基本每股盈餘
2024-06-30,2536,EPS,0.14,基本每股盈餘
2024-06-30,2524,EPS,0.95,基本每股盈餘
2024-06-30,2535,EPS,1.69,基本每股盈餘
2024-06-30,2528,EPS,-0.42,基本每股盈餘
2024-06-30,2546,EPS,1.12,基本每股盈餘
2024-06-30,2887,EPS,0.38,基本每股盈餘（元）
2024-06-30,2509,EPS,0.28,基本每股盈餘
2024-06-30,2506,EPS,-0.06,基本每股盈餘
2024-06-30,2809,EPS,1.09,基本每股盈餘（元）
2024-06-30,2801,EPS,0.31,基本每股盈餘（元）
2024-06-30,2471,EPS,0.91,基本每股盈餘
2024-06-30,2726,EPS,0.21,基本每股盈餘
2024-06-30,2474,EPS,5.05,基本每股盈餘
2024-06-30,2723,EPS,0.43,基本每股盈餘
2024-06-30,2498,EPS,-0.98,基本每股盈餘
2024-06-30,2719,EPS,1.44,基本每股盈餘
2024-06-30,2501,EPS,0.3,基本每股盈餘
2024-06-30,2718,EPS,0.08,基本每股盈餘
2024-06-30,2712,EPS,-0.71,基本每股盈餘
2024-06-30,2504,EPS,1.66,基本每股盈餘
2024-06-30,2597,EPS,3.41,基本每股盈餘
2024-06-30,2505,EPS,0.12,基本每股盈餘
2024-06-30,2548,EPS,0.93,基本每股盈餘
2024-06-30,2547,EPS,-0.09,基本每股盈餘
2024-06-30,1519,EPS,3.11,基本每股盈餘
2024-06-30,2393,EPS,1.85,基本每股盈餘
2024-06-30,2388,EPS,0.13,基本每股盈餘
2024-06-30,3040,EPS,0.21,基本每股盈餘
2024-06-30,2324,EPS,0.66,基本每股盈餘
2024-06-30,3038,EPS,0.57,基本每股盈餘
2024-06-30,2327,EPS,13.02,基本每股盈餘
2024-06-30,3037,EPS,1.05,基本每股盈餘
2024-06-30,2329,EPS,0.5,基本每股盈餘
2024-06-30,3041,EPS,-0.27,基本每股盈餘
2024-06-30,3036,EPS,1.7,基本每股盈餘
2024-06-30,3035,EPS,1.0,基本每股盈餘
2024-06-30,3034,EPS,8.86,基本每股盈餘
2024-06-30,2332,EPS,0.04,基本每股盈餘
2024-06-30,3033,EPS,0.84,基本每股盈餘
2024-06-30,2337,EPS,-0.15,基本每股盈餘
2024-06-30,3032,EPS,1.92,基本每股盈餘
2024-06-30,2330,EPS,9.56,基本每股盈餘
2024-06-30,2317,EPS,2.53,基本每股盈餘
2024-06-30,3042,EPS,1.67,基本每股盈餘
2024-06-30,2308,EPS,3.83,基本每股盈餘
2024-06-30,3051,EPS,0.34,基本每股盈餘
2024-06-30,3050,EPS,0.06,基本每股盈餘
2024-06-30,2201,EPS,1.16,基本每股盈餘
2024-06-30,3049,EPS,-0.24,基本每股盈餘
2024-06-30,2204,EPS,2.21,基本每股盈餘
2024-06-30,3048,EPS,-0.05,基本每股盈餘
2024-06-30,2207,EPS,10.54,基本每股盈餘
2024-06-30,3047,EPS,0.4,基本每股盈餘
2024-06-30,2208,EPS,-0.18,基本每股盈餘
2024-06-30,3046,EPS,1.01,基本每股盈餘
2024-06-30,3045,EPS,1.07,基本每股盈餘
2024-06-30,2301,EPS,1.36,基本每股盈餘
2024-06-30,3044,EPS,3.78,基本每股盈餘
2024-06-30,2303,EPS,1.11,基本每股盈餘
