futures_id,date,institutional_investors,long_deal_volume,long_deal_amount,short_deal_volume,short_deal_amount,long_open_interest_balance_volume,long_open_interest_balance_amount,short_open_interest_balance_volume,short_open_interest_balance_amount,contract
MTX,2026-04-26,自營商,19779,38167085,17530,33753408,4293,8436643,6887,13533041,MTX
MTX,2026-04-26,投信,3,5879,0,0,116,227488,37,72561,MTX
MTX,2026-04-26,外資,181478,348542430,177018,339959460,5258,10312734,1591,3121595,MTX
MTX,2026-04-27,自營商,16347,32641469,16997,33938471,3298,6599207,6752,13502268,MTX
MTX,2026-04-27,投信,0,0,0,0,116,231542,37,73854,MTX
MTX,2026-04-27,外資,160194,319342926,163661,326162477,3406,6799621,3316,6620587,MTX
MTX,2026-04-28,自營商,11134,22235641,10849,21651261,3188,6350770,6409,12760738,MTX
MTX,2026-04-28,投信,0,0,3,5959,116,230451,40,79466,MTX
MTX,2026-04-28,外資,123242,245779882,125025,249294228,3451,6856809,5228,10388636,MTX
MTX,2026-04-29,自營商,12268,24218734,12793,25252061,2818,5578432,6002,11877186,MTX
MTX,2026-04-29,投信,0,0,1,1973,116,228978,41,80932,MTX
MTX,2026-04-29,外資,138718,273517136,139977,275992061,3688,7280687,2059,4067035,MTX
MTX,2026-04-30,自營商,10077,19931143,9818,19408019,3067,6048255,5991,11812198,MTX
MTX,2026-04-30,投信,4,7869,1,1967,120,236052,42,82618,MTX
MTX,2026-04-30,外資,151184,298676479,148223,292813245,6430,12649097,1896,3732533,MTX
MTX,2026-05-01,自營商,10077,19931143,9818,19408019,3067,6048255,5991,11812198,MTX
MTX,2026-05-01,投信,4,7869,1,1967,120,236052,42,82618,MTX
MTX,2026-05-01,外資,151184,298676479,148223,292813245,6430,12649097,1896,3732533,MTX
MTX,2026-05-02,自營商,10077,19931143,9818,19408019,3067,6048255,5991,11812198,MTX
MTX,2026-05-02,投信,4,7869,1,1967,120,236052,42,82618,MTX
MTX,2026-05-02,外資,151184,298676479,148223,292813245,6430,12649097,1896,3732533,MTX
MTX,2026-05-03,自營商,10077,19931143,9818,19408019,3067,6048255,5991,11812198,MTX
MTX,2026-05-03,投信,4,7869,1,1967,120,236052,42,82618,MTX
MTX,2026-05-03,外資,151184,298676479,148223,292813245,6430,12649097,1896,3732533,MTX
MTX,2026-05-04,自營商,16052,32390937,14241,28729094,4065,8361101,6494,13352024,MTX
MTX,2026-05-04,投信,2,4107,6,12319,114,234019,40,82112,MTX
MTX,2026-05-04,外資,138250,277672881,133006,267129984,6908,14183663,2317,4758661,MTX
MTX,2026-05-05,自營商,10207,20884266,11516,23559588,2747,5652463,6417,13192610,MTX
MTX,2026-05-05,投信,2,4092,3,6154,115,235946,42,86171,MTX
MTX,2026-05-05,外資,121914,249273378,128313,262306865,4570,9378539,2404,4935138,MTX
MTX,2026-05-06,自營商,15731,32619853,16755,34734181,2544,5297982,6965,14493174,MTX
MTX,2026-05-06,投信,2,4153,0,0,115,238706,40,83028,MTX
MTX,2026-05-06,外資,147206,304807237,149350,309250904,3624,7525008,3604,7484786,MTX
MTX,2026-05-07,自營商,13985,29445014,14071,29624837,2894,6148948,7408,15730772,MTX
MTX,2026-05-07,投信,0,0,2,4235,113,239289,40,84704,MTX
MTX,2026-05-07,外資,135408,284673088,135478,284768945,4457,9441702,4399,9319582,MTX
MTX,2026-05-08,自營商,15081,31738619,16013,33699130,2404,5062863,7663,16125469,MTX
MTX,2026-05-08,投信,0,0,2,4195,113,236910,42,88055,MTX
MTX,2026-05-08,外資,147119,309434620,149672,314851283,3950,8283721,2424,5087600,MTX
MTX,2026-05-09,自營商,15081,31738619,16013,33699130,2404,5062863,7663,16125469,MTX
MTX,2026-05-09,投信,0,0,2,4195,113,236910,42,88055,MTX
MTX,2026-05-09,外資,147119,309434620,149672,314851283,3950,8283721,2424,5087600,MTX
MTX,2026-05-10,自營商,15081,31738619,16013,33699130,2404,5062863,7663,16125469,MTX
MTX,2026-05-10,投信,0,0,2,4195,113,236910,42,88055,MTX
MTX,2026-05-10,外資,147119,309434620,149672,314851283,3950,8283721,2424,5087600,MTX
MTX,2026-05-11,自營商,10507,22109269,10509,22105554,2601,5479972,7929,16695501,MTX
MTX,2026-05-11,投信,0,0,0,0,113,237125,42,88135,MTX
MTX,2026-05-11,外資,103182,216860588,104179,218950292,3676,7715342,2990,6279020,MTX
MTX,2026-05-12,自營商,14754,31035809,15284,32138396,2573,5387436,8016,16773746,MTX
