futures_id,date,institutional_investors,long_deal_volume,long_deal_amount,short_deal_volume,short_deal_amount,long_open_interest_balance_volume,long_open_interest_balance_amount,short_open_interest_balance_volume,short_open_interest_balance_amount,contract
TX,2026-04-26,自營商,9951,76983688,11928,92188147,2923,22960328,7885,61890708,TX
TX,2026-04-26,投信,790,6197005,372,2909677,45735,358763634,4008,31440355,TX
TX,2026-04-26,外資,87607,673785016,84205,647690946,20056,157336394,60689,476110806,TX
TX,2026-04-27,自營商,10064,80587325,8990,71975366,3168,25321474,6960,55610258,TX
TX,2026-04-27,投信,1577,12594743,659,5288287,47132,376311314,4487,35825105,TX
TX,2026-04-27,外資,75634,603565106,79237,632297555,18523,147899093,62746,501015734,TX
TX,2026-04-28,自營商,6773,54081759,5702,45589024,4294,34162828,7002,55687731,TX
TX,2026-04-28,投信,221,1756799,293,2328495,47093,374229234,4520,35918632,TX
TX,2026-04-28,外資,60657,483921666,62255,496608528,17922,142436089,63791,506980388,TX
TX,2026-04-29,自營商,7450,58786017,5933,46830684,4732,37416183,6049,47801109,TX
TX,2026-04-29,投信,182,1437017,560,4426352,46801,369531336,4606,36368055,TX
TX,2026-04-29,外資,63721,502640432,63787,503150453,18063,142647412,65137,514382573,TX
TX,2026-04-30,自營商,5551,43883684,5850,46269952,4708,37094282,6247,49192453,TX
TX,2026-04-30,投信,378,2975040,256,2014710,46884,368902066,4567,35934983,TX
TX,2026-04-30,外資,70159,554377821,67153,530626691,19569,154006546,63613,500605400,TX
TX,2026-05-01,自營商,5551,43883684,5850,46269952,4708,37094282,6247,49192453,TX
TX,2026-05-01,投信,378,2975040,256,2014710,46884,368902066,4567,35934983,TX
TX,2026-05-01,外資,70159,554377821,67153,530626691,19569,154006546,63613,500605400,TX
TX,2026-05-02,自營商,5551,43883684,5850,46269952,4708,37094282,6247,49192453,TX
TX,2026-05-02,投信,378,2975040,256,2014710,46884,368902066,4567,35934983,TX
TX,2026-05-02,外資,70159,554377821,67153,530626691,19569,154006546,63613,500605400,TX
TX,2026-05-03,自營商,5551,43883684,5850,46269952,4708,37094282,6247,49192453,TX
TX,2026-05-03,投信,378,2975040,256,2014710,46884,368902066,4567,35934983,TX
TX,2026-05-03,外資,70159,554377821,67153,530626691,19569,154006546,63613,500605400,TX
TX,2026-05-04,自營商,8414,68188696,9257,74917280,4399,36162270,6363,52281201,TX
TX,2026-05-04,投信,1909,15663623,120,973835,48625,399269600,4519,37106413,TX
TX,2026-05-04,外資,63806,513516622,64682,520869088,21596,177366400,65100,534619107,TX
TX,2026-05-05,自營商,5958,48737234,4825,39507480,4812,39540120,5660,46491629,TX
TX,2026-05-05,投信,416,3412701,313,2565115,48828,400721630,4619,37907209,TX
TX,2026-05-05,外資,55251,451879891,59358,485421356,20156,165459518,68843,565063270,TX
