date,stock_id,MarginPurchaseBuy,MarginPurchaseCashRepayment,MarginPurchaseLimit,MarginPurchaseSell,MarginPurchaseTodayBalance,MarginPurchaseYesterdayBalance,Note,OffsetLoanAndShort,ShortSaleBuy,ShortSaleCashRepayment,ShortSaleLimit,ShortSaleSell,ShortSaleTodayBalance,ShortSaleYesterdayBalance
2026-03-26,1101,115,20,1880795,254,30677,30836, ,7,0,0,1880795,7,30,23
2026-03-26,1216,75,0,1420503,104,1617,1646, ,0,0,0,1420503,7,7,0
2026-03-26,1217,32,0,123628,6,2158,2132, ,0,0,0,123628,0,0,0
2026-03-26,1218,23,0,124999,9,1559,1545, ,0,0,0,124999,0,0,0
2026-03-26,1219,61,0,85309,1,1203,1143, ,12,0,0,85309,0,0,0
2026-03-26,1225,13,0,60567,11,4533,4531, ,0,0,0,60567,0,0,0
2026-03-26,1227,4,0,228772,12,1381,1389, ,0,0,0,228772,0,0,0
2026-03-26,1526,0,0,15000,29,915,944, ,0,0,0,15000,0,0,0
2026-03-26,1527,1,0,34642,0,540,539, ,0,0,0,34642,5,5,0
2026-03-26,2449,642,4,305686,593,11120,11075, ,0,0,0,305686,0,0,0
2026-03-26,1229,23,0,448990,37,2339,2353, ,0,0,0,448990,0,0,0
2026-03-26,1236,0,0,21668,5,149,154, ,0,0,0,21668,0,0,0
2026-03-26,1256,0,0,8943,3,313,316, ,0,0,0,8943,0,0,0
2026-03-26,1301,1523,0,1591435,2133,20954,21564, ,216,0,0,1591435,52,52,0
2026-03-26,1303,5061,13,1982705,3563,54053,52568, ,0,0,0,1982705,0,0,0
2026-03-26,1304,4340,2,297190,1854,13112,10628, ,0,0,0,297190,0,0,0
2026-03-26,1305,2862,2,145262,1782,8115,7037, ,206,0,0,145262,22,22,0
2026-03-26,1307,126,0,99454,137,2317,2328, ,0,1,0,99454,0,16,17
2026-03-26,1102,52,0,886640,11,1575,1534, ,0,0,0,886640,0,0,0
2026-03-26,1531,0,0,45527,23,2151,2174, ,0,0,0,45527,0,0,0
2026-03-26,1584,31,14,58117,58,6806,6847,,2,13,0,58117,0,13,0
2026-03-26,1234,0,0,100467,0,39,39, ,0,0,0,100467,0,0,0
2026-03-26,1233,0,0,22647,0,61,61, ,0,0,0,22647,0,0,0
2026-03-26,1310,1243,0,131967,1837,11935,12529, ,106,11,0,131967,60,81,32
