date,stock_id,HoldingSharesLevel,people,percent,unit
2026-04-30,1101,1-999,148206,0.27,20326160
2026-04-30,3666,"800,001-1,000,000",1,0.63,879000
2026-04-30,3597,"50,001-100,000",20,3.65,1433745
2026-04-30,3666,"more than 1,000,001",8,78.93,109675112
2026-04-30,1583,"600,001-800,000",0,0.0,0
2026-04-30,3597,"20,001-30,000",34,2.19,860147
2026-04-30,3666,"400,001-600,000",4,1.48,2058523
2026-04-30,2013,"600,001-800,000",1,0.3,600069
2026-04-30,3666,"100,001-200,000",23,2.33,3249402
2026-04-30,3666,"50,001-100,000",40,1.96,2735558
2026-04-30,3666,"40,001-50,000",24,0.79,1099671
2026-04-30,3666,"20,001-30,000",71,1.29,1796903
2026-04-30,3593,"100,001-200,000",33,7.7,4689326
2026-04-30,3666,"15,001-20,000",76,0.99,1386298
2026-04-30,3666,"10,001-15,000",117,1.06,1477336
2026-04-30,3666,"5,001-10,000",400,2.31,3217241
2026-04-30,3666,"1,000-5,000",2869,4.26,5924187
2026-04-30,3666,1-999,25386,0.09,127854
2026-04-30,3593,1-999,22248,1.52,924689
2026-04-30,3593,"1,000-5,000",1642,5.5,3346848
2026-04-30,3593,"5,001-10,000",283,3.2,1950025
2026-04-30,3593,"10,001-15,000",112,2.24,1364116
2026-04-30,3593,"15,001-20,000",57,1.66,1013370
2026-04-30,3593,"20,001-30,000",62,2.59,1576500
2026-04-30,3593,"30,001-40,000",28,1.61,980829
2026-04-30,3593,"40,001-50,000",17,1.25,762223
2026-04-30,3593,"50,001-100,000",37,4.22,2572091
2026-04-30,3596,"200,001-400,000",39,4.85,10693988
2026-04-30,3596,"600,001-800,000",8,2.6,5732789
2026-04-30,3709,"20,001-30,000",82,1.69,2124383
2026-04-30,3666,差異數調整（說明4）,0,0.0,0
2026-04-30,3597,"15,001-20,000",33,1.53,602773
2026-04-30,3666,total,29061,100.0,138949850
2026-04-30,3709,"1,000-5,000",3600,5.5,6909911
2026-04-30,3583,"600,001-800,000",5,4.31,3466454
2026-04-30,3596,"10,001-15,000",212,1.22,2691792
2026-04-30,3583,total,26716,100.0,80346080
2026-04-30,3596,"20,001-30,000",111,1.27,2810088
2026-04-30,3593,"more than 1,000,001",4,50.01,30423238
2026-04-30,3593,"800,001-1,000,000",2,2.99,1820013
2026-04-30,3665,"30,001-40,000",93,1.66,3253875
2026-04-30,3665,"20,001-30,000",173,2.2,4294506
2026-04-30,3665,"15,001-20,000",106,0.94,1841699
2026-04-30,3665,"10,001-15,000",189,1.17,2293367
2026-04-30,3665,"5,001-10,000",405,1.46,2852569
2026-04-30,3665,"1,000-5,000",4548,3.73,7288586
2026-04-30,3665,1-999,21952,0.84,1641484
2026-04-30,3596,1-999,11855,0.49,1093548
2026-04-30,3596,"1,000-5,000",8242,6.7,14771946
2026-04-30,3596,"5,001-10,000",725,2.51,5533173
2026-04-30,3596,"15,001-20,000",123,1.0,2215984
2026-04-30,3597,"30,001-40,000",14,1.18,466390
2026-04-30,3596,"30,001-40,000",55,0.88,1949123
2026-04-30,3596,"800,001-1,000,000",11,4.37,9647396
2026-04-30,3596,"40,001-50,000",34,0.68,1516024
2026-04-30,3596,"50,001-100,000",83,2.77,6106728
