stock_id,stock_name,type
1101,1101,twse
1102,1102,twse
1210,1210,twse
1215,1215,twse
1216,1216,twse
1217,1217,twse
1218,1218,twse
1301,台塑,twse
1303,1303,twse
1304,1304,twse
1305,1305,twse
1307,1307,twse
1326,1326,twse
1402,1402,twse
1466,1466,twse
1504,1504,twse
1514,1514,twse
1537,1537,twse
1560,1560,twse
1580,1580,twse
1582,1582,twse
1583,1583,twse
1584,1584,twse
1585,1585,twse
1586,1586,twse
1589,1589,twse
1590,1590,twse
1603,1603,twse
1605,1605,twse
1608,1608,twse
1609,1609,twse
1612,1612,twse
1710,1710,twse
1711,1711,twse
1760,1760,twse
1789,1789,twse
2002,中鋼,twse
2006,2006,twse
2007,2007,twse
2008,2008,twse
2009,2009,twse
2010,2010,twse
2012,2012,twse
2013,2013,twse
2014,2014,twse
2015,2015,twse
2049,2049,twse
2059,2059,twse
2061,2061,twse
2062,2062,twse
2063,2063,twse
2064,2064,twse
2065,2065,twse
2201,2201,twse
2204,2204,twse
2207,2207,twse
2208,2208,twse
2301,2301,twse
2303,聯電,twse
2308,台達電,twse
2317,鴻海,twse
2324,2324,twse
2325,2325,twse
2327,2327,twse
2329,2329,twse
2330,台積電,twse
2332,2332,twse
2337,2337,twse
2340,2340,twse
2344,2344,twse
2345,2345,twse
2348,2348,twse
2351,2351,twse
2353,2353,twse
2354,2354,twse
2356,2356,twse
2357,2357,twse
2363,2363,twse
2364,2364,twse
2365,2365,twse
2368,2368,twse
2379,瑞昱,twse
2382,廣達,twse
2383,2383,twse
2388,2388,twse
2393,2393,twse
2397,2397,twse
2399,2399,twse
2406,2406,twse
2408,2408,twse
2409,2409,twse
2412,中華電,twse
2421,2421,twse
2429,2429,twse
2436,2436,twse
2439,2439,twse
2441,2441,twse
2449,2449,twse
2454,聯發科,twse
2455,2455,twse
2460,2460,twse
2462,2462,twse
2471,2471,twse
2474,2474,twse
2475,2475,twse
2498,2498,twse
2511,2511,twse
2515,2515,twse
2528,2528,twse
2534,2534,twse
2535,2535,twse
2536,2536,twse
2537,2537,twse
2538,2538,twse
2540,2540,twse
2542,2542,twse
2543,2543,twse
2545,2545,twse
2546,2546,twse
2547,2547,twse
2548,2548,twse
2597,2597,twse
2718,2718,twse
2719,2719,twse
2720,2720,twse
2801,2801,twse
2820,2820,twse
2823,2823,twse
2824,2824,twse
2834,2834,twse
2838,2838,twse
2849,2849,twse
2850,2850,twse
2851,2851,twse
2852,2852,twse
2855,2855,twse
2856,2856,twse
2867,2867,twse
2880,2880,twse
2881,富邦金,twse
2882,國泰金,twse
2883,2883,twse
2884,2884,twse
2885,2885,twse
2886,兆豐金,twse
2887,2887,twse
2888,2888,twse
2889,2889,twse
2890,2890,twse
2891,中信金,twse
2892,2892,twse
2903,2903,twse
2905,2905,twse
2908,2908,twse
2910,2910,twse
2911,2911,twse
2912,2912,twse
2914,2914,twse
2915,2915,twse
2923,2923,twse
3008,3008,twse
3014,3014,twse
3016,3016,twse
3017,3017,twse
3023,3023,twse
3028,3028,twse
3030,3030,twse
3031,3031,twse
3033,3033,twse
3034,聯詠,twse
3035,3035,twse
3036,3036,twse
3037,3037,twse
3038,3038,twse
3040,3040,twse
3041,3041,twse
3042,3042,twse
3044,3044,twse
3045,台灣大,twse
3046,3046,twse
3047,3047,twse
3048,3048,twse
3049,3049,twse
3057,3057,twse
3059,3059,twse
3062,3062,twse
3085,3085,twse
3105,3105,twse
3141,3141,twse
3189,3189,twse
3209,3209,twse
3211,3211,twse
3228,3228,twse
3231,3231,twse
3260,3260,twse
3376,3376,twse
3406,3406,twse
3443,3443,twse
3481,3481,twse
3494,3494,twse
3515,3515,twse
3518,3518,twse
3530,3530,twse
3532,3532,twse
3533,3533,twse
3548,3548,twse
3576,3576,twse
3583,3583,twse
3593,3593,twse
3596,3596,twse
3597,3597,twse
3653,3653,twse
3661,世芯,twse
3691,3691,twse
3706,3706,twse
3707,3707,twse
3711,3711,twse
4106,4106,twse
4108,4108,twse
4119,4119,twse
4121,4121,twse
4123,4123,twse
4126,4126,twse
4128,4128,twse
4130,4130,twse
4133,4133,twse
4141,4141,twse
4142,4142,twse
4144,4144,twse
4147,4147,twse
4148,4148,twse
4162,4162,twse
4174,4174,twse
4743,4743,twse
4904,遠傳,twse
4906,4906,twse
4919,4919,twse
4938,4938,twse
4958,4958,twse
4960,4960,twse
4961,4961,twse
4966,4966,twse
4968,4968,twse
5009,5009,twse
5269,5269,twse
5274,5274,twse
5347,5347,twse
5354,5354,twse
5371,5371,twse
5483,5483,twse
5522,5522,twse
5533,5533,twse
5536,5536,twse
5546,5546,twse
5876,5876,twse
5878,5878,twse
5880,5880,twse
5903,5903,twse
5904,5904,twse
6005,6005,twse
6120,6120,twse
6146,6146,twse
6147,6147,twse
6214,6214,twse
6227,6227,twse
6230,6230,twse
6239,6239,twse
6244,6244,twse
6257,6257,twse
6269,6269,twse
6271,6271,twse
6274,6274,twse
6277,6277,twse
6278,6278,twse
6285,6285,twse
6409,6409,twse
6415,矽力,twse
6442,6442,twse
6446,6446,twse
6456,6456,twse
6461,6461,twse
6488,6488,twse
6505,6505,twse
6510,6510,twse
6523,6523,twse
6533,6533,twse
6547,6547,twse
6643,6643,twse
6669,緯穎,twse
6770,6770,twse
6789,6789,twse
6803,6803,twse
8044,8044,twse
8081,8081,twse
8210,8210,twse
